GAME_ID,home_team,away_team,hs_minutes,hs_FGM,hs_FGA,hs_3PM,hs_3PA,hs_FTM,hs_FTA,hs_OREB,hs_DREB,hs_AST,hs_STL,hs_BLK,hs_TO,hs_FOUL,ht_minutes,ht_FGM,ht_FGA,ht_3PM,ht_3PA,ht_FTM,ht_FTA,ht_OREB,ht_DREB,ht_AST,ht_STL,ht_BLK,ht_TO,ht_FOUL,as_minutes,as_FGM,as_FGA,as_3PM,as_3PA,as_FTM,as_FTA,as_OREB,as_DREB,as_AST,as_STL,as_BLK,as_TO,as_FOUL,at_minutes,at_FGM,at_FGA,at_3PM,at_3PA,at_FTM,at_FTA,at_OREB,at_DREB,at_AST,at_STL,at_BLK,at_TO,at_FOUL
22301195,NOP,LAL,65:32:00,11,26,6,15,6,6,3,10,10,0,0,7,4,120:00:00,18,42,9,25,8,8,3,14,13,2,0,9,7,93:37:00,28,46,4,12,1,1,4,14,21,7,1,5,4,120:00:00,31,51,5,14,3,3,4,17,23,7,1,6,7
22301192,PHI,BKN,76:20:00,15,32,5,12,5,6,1,16,9,1,3,3,4,120:00:00,20,47,7,21,8,9,3,24,16,3,4,3,6,83:40:00,13,29,5,9,3,4,0,13,7,0,1,3,5,120:00:00,18,46,5,17,3,4,2,20,11,1,4,4,6
22301194,MIN,PHX,84:34:00,12,17,5,7,7,9,3,10,4,2,3,14,6,120:00:00,19,29,7,13,8,11,3,13,11,3,3,19,9,86:43:00,22,37,8,12,4,5,5,4,12,10,2,2,7,120:00:00,26,47,9,16,5,6,6,5,16,10,2,6,11
22301191,ORL,MIL,87:59:00,12,31,3,13,8,9,2,18,8,3,3,4,6,120:00:00,18,41,3,14,8,9,3,23,11,4,3,7,8,90:10:00,11,35,3,11,12,13,4,15,7,5,2,6,5,120:00:00,13,42,4,16,12,13,5,18,7,6,2,7,7
22301187,CLE,CHA,76:51:00,12,24,4,7,4,4,3,14,16,1,1,4,1,120:00:00,23,47,8,18,4,6,5,18,18,1,1,5,4,73:17:00,12,29,6,16,0,0,3,11,12,1,3,1,3,120:00:00,22,49,11,25,2,3,6,20,19,4,3,5,5
22301195,NOP,LAL,65:32:00,11,26,6,15,6,6,3,10,10,0,0,7,4,120:00:00,18,42,9,25,8,8,3,14,13,2,0,9,7,93:37:00,28,46,4,12,1,1,4,14,21,7,1,5,4,120:00:00,31,51,5,14,3,3,4,17,23,7,1,6,7
22301196,OKC,DAL,66:29:00,20,37,3,14,7,7,5,11,17,0,1,3,5,120:00:00,32,53,7,20,11,11,8,23,21,3,2,6,10,75:57:00,5,24,3,12,3,5,1,4,6,3,0,5,8,120:00:00,15,44,5,19,6,9,2,9,11,4,0,9,10
22301188,IND,ATL,65:51:00,23,32,4,9,5,7,4,12,11,4,4,3,9,120:00:00,35,55,9,20,7,9,10,16,18,4,4,6,13,83:40:00,18,33,5,11,13,14,3,6,12,3,0,6,5,120:00:00,24,44,7,16,17,18,4,10,15,3,4,6,9
22301199,LAC,HOU,78:29:00,14,33,2,9,6,7,4,13,7,2,1,2,2,120:00:00,20,46,2,10,9,11,7,18,9,8,3,7,5,84:40:00,14,35,5,18,2,4,7,11,9,2,2,6,4,120:00:00,20,49,6,23,2,6,10,18,11,3,3,11,8
22301194,MIN,PHX,84:34:00,12,17,5,7,7,9,3,10,4,2,3,14,6,120:00:00,19,29,7,13,8,11,3,13,11,3,3,19,9,86:43:00,22,37,8,12,4,5,5,4,12,10,2,2,7,120:00:00,26,47,9,16,5,6,6,5,16,10,2,6,11
22301186,BOS,WAS,79:27:00,17,32,8,16,4,5,2,12,14,1,3,1,5,120:00:00,26,44,9,18,8,12,4,17,16,5,9,6,9,78:34:00,9,26,1,10,5,5,3,11,7,0,1,3,7,120:00:00,23,51,5,19,8,8,5,15,14,2,1,6,9
