GAME_ID,team,against,s_minutes,s_FGM,s_FGA,s_3PM,s_3PA,s_FTM,s_FTA,s_OREB,s_DREB,s_AST,s_STL,s_BLK,s_TO,s_FOUL,b_FGM,b_FGA,b_3PM,b_3PA,b_FTM,b_FTA,b_OREB,b_DREB,b_AST,b_STL,b_BLK,b_TO,b_FOUL,home_away,PTS_ht,PTS_ht_opp,PTS_final
22300001,IND,CLE,76.88333333333334,18,33,6,11,6,8,3,13,15,4,0,5,4,8,13,3,5,3,6,0,7,5,1,3,4,3,home,70,53,121
22300001,CLE,IND,70.66666666666667,16,30,2,9,4,5,3,8,11,4,4,7,7,6,15,2,7,1,2,0,6,4,2,1,1,4,away,53,70,116
22300002,NYK,MIL,87.78333333333333,13,39,5,15,7,12,12,15,7,3,1,3,9,3,12,2,6,0,0,2,5,1,0,0,3,1,away,46,56,105
22300002,MIL,NYK,74.35,12,25,5,8,8,10,3,10,9,0,5,6,3,7,17,5,10,0,0,0,6,3,3,0,0,3,home,56,46,110
22300003,MIA,WAS,73.41666666666667,13,25,4,7,6,6,0,13,12,2,0,7,5,11,15,2,4,0,0,3,3,7,2,1,2,1,home,60,54,121
22300003,WAS,MIA,77.98333333333333,16,28,7,11,3,5,1,9,9,2,1,8,7,6,11,0,3,0,2,1,4,7,1,0,3,0,away,54,60,114
22300004,CHI,BKN,82.25,17,31,6,12,2,2,1,11,9,1,1,4,4,6,9,3,5,1,4,0,7,2,2,2,3,3,home,58,59,107
22300004,BKN,CHI,81.88333333333334,17,31,8,14,2,2,1,8,14,2,1,4,2,6,15,3,7,0,1,0,8,5,0,1,1,2,away,59,58,109
22300005,OKC,GSW,77.76666666666667,16,26,4,7,9,10,3,7,8,2,0,9,6,8,15,4,10,2,3,0,6,6,1,0,2,0,home,67,69,139
22300005,GSW,OKC,68.31666666666666,15,24,8,14,6,7,3,9,11,3,1,7,8,10,21,5,11,0,0,2,5,10,3,0,6,2,away,69,67,141
22300006,DAL,DEN,78.5,14,26,4,12,5,6,3,6,9,5,2,8,7,6,15,2,6,4,4,0,4,3,4,0,2,3,away,55,70,114
22300006,DEN,DAL,84.8,21,35,8,12,6,6,7,9,16,5,1,7,7,5,11,1,4,3,5,2,7,2,3,2,4,3,home,70,55,125
22300007,MEM,POR,77.25,18,38,6,17,5,8,2,13,8,4,3,5,6,3,7,0,3,0,0,1,5,5,0,3,1,3,away,53,54,113
22300007,POR,MEM,86.7,16,33,4,11,9,11,3,14,10,2,2,3,3,3,12,1,5,2,2,3,3,0,3,2,2,4,home,54,53,115
22300008,PHI,DET,81.5,12,38,3,11,18,22,5,13,7,4,3,4,4,1,5,1,3,0,0,0,3,2,4,0,0,4,away,48,56,114
22300008,DET,PHI,81.86666666666666,16,34,3,11,4,4,4,16,13,2,3,7,10,5,11,1,5,6,6,2,7,2,0,0,1,5,home,56,48,106
